Timestamp,--- Section 1: Vendor Profile ---,1. Vendor ID / Name (Optional),2. Gender,3. Age Group,4. List of all Goods/Services sold (Describe the primary items sold),5. Type of Goods Sold,6. Specific Location (Detailed intersection/landmark),7. Current Business Duration (Round Off to Nearest Year - How long have you been operating this business?),8. Primary Mode of Operation,--- Section 2: UPI Usage & Adoption History ---,9. Do you accept UPI (QR Code) payments?,10. Why did you first start using UPI? (Select all that apply),"11. Do you pay any monthly fees (e.g., Soundbox rent) or transaction charges for using UPI?","12. Out of every 10 customers, how many pay via UPI? (Estimate)","13. How often do you experience technical/network issues (e.g., transaction fails, slow network)?","--- Section 3: Sales, Volume & Management ---",14. What is the most common amount a customer pays for a single item (average ticket size)?,"15. On an average day, roughly how many total customers do you serve?",16. Is your daily collection amount generally the same every day?,17a. Earnings on the Busiest Day (Last 7 days) (Approximate figure in Rupees),17b. Earnings on the Slowest Day (Last 7 days) (Approximate figure in Rupees),"18. In the last 1 hour, how many total customers came?",19. How many of those customers (in the last hour) used UPI?,20. Is it easier to keep track of your daily earnings with UPI or Cash?,"21. Do you feel you ""save"" more money now because UPI goes directly to the bank?","22. Compared to the same time last year, how has your overall business (sales volume/revenue) changed?",--- Section 4: Perceptions & Efficiency ---,23. Has the time taken per transaction changed using UPI?,"24. Out of every 10 customers, how many pay via Cash? (Estimate)",25. How many customers (who pay in cash) do you lose in a week because you don't have change?,26. Are you worried about all your transactions being recorded digitally?,27. Do customers ever leave because the UPI payment is taking too long?,28. Which mode do you prefer for your business?,--- Section 5: Surveyor Internal Consistency Check ---,C.1 Do the buckets for UPI (Q12) and Cash (Q24) sum to approximately 10?,"C.2 If the vendor said business is 'Very Steady,' is the difference between Busiest and Slowest day less than 30%?",C.3 Does the ratio of UPI users in the last hour (Q18/Q19) fall within the general day bucket (Q12)?,C.4 Was a QR code physically visible and reachable?,C.5 General atmosphere during interview:
4-5-2026 21:04:23,1,Jeevan snacks chat,Male,45-59,Chat,"Perishables (e.g., fruits, vegetables, cooked food)",Beside Birla opus paints ,40,Mobile Cart (Thela/Rehri),2,Yes,Customers kept asking for it,Yes (monthly rent for device/service),6-8,Daily,3,?20-?100,100,Somewhat Fluctuating,2000,500,",15",12,UPI (Bank record helps),No difference in saving habits,Stayed the Same,4,Slower (due to network/verification),0-2,0-2,"Yes, I am worried",Sometimes,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Clearly Visible,Cooperative
4-5-2026 21:10:52,1,Subho (clothes shop),Male,30-44,Clothes,"Non-Perishables (e.g., clothes, small electronics, repair services)",In front of construction building in the lane,45,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"Customers kept asking for it, To avoid the problem of change, Other vendors were using it",No (Free),0-2,Rarely (Less than once a month),3,?100-?500,5-7,Very Unsteady (Collections vary greatly),2500,500,2-3,0,No difference,No difference in saving habits,Declined (20%+ decrease),4,Faster with UPI,9-10,0-2,Neutral/Don't care,Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Hidden/Asked for,Distracted
4-5-2026 21:16:51,1,Roy Momo,Male,30-44,Momos,"Perishables (e.g., fruits, vegetables, cooked food)","Besides Happy Cafe and Lounge, Dunlop Bridge",8,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"Customers kept asking for it, To avoid the problem of change",No (Free),3-5,Weekly,3,?20-?100,100-150,Somewhat Fluctuating,4000-5000,3000-3500,NA,NA,No difference,"Yes, it helps me save more",Significantly Grown (20%+ increase),4,Faster with UPI,3-5,0-2,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Cooperative
4-5-2026 21:23:19,1,Rajeev (Minu more),Male,30-44,Clothes,"Non-Perishables (e.g., clothes, small electronics, repair services)",Opposite basak bedding,54,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Demonatization,Yes (small charge per sale/transaction),6-8,Rarely (Less than once a month),3,?100-?500,110,Somewhat Fluctuating,50000,15k,50-60,25,UPI (Bank record helps),"Yes, it helps me save more",Significantly Grown (20%+ increase),4,Faster with UPI,0-2,0-2,"No, I am not worried",Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Cooperative
4-5-2026 21:40:44,1,,Male,30-44,clothes,"Perishables (e.g., fruits, vegetables, cooked food)",dunlop block d,80,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,bank people sent ,No (Free),9-10,Rarely (Less than once a month),3,?100-?500,not collected,Somewhat Fluctuating,mot knoens,not known,2,2,UPI (Bank record helps),No difference in saving habits,Declined (20%+ decrease),4,Faster with UPI,0-2,0-2,"No, I am not worried",Sometimes,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,moderate willingness/not willing to disclose numbers
4-5-2026 21:47:06,1,,Male,45-59,kirana,"Perishables (e.g., fruits, vegetables, cooked food)",beside desi chinese,50,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"Customers kept asking for it, To avoid the problem of change, Other vendors were using it",Yes (monthly rent for device/service),6-8,Rarely (Less than once a month),3,?100-?500,40,Somewhat Fluctuating,25000,15000,30,12,UPI (Bank record helps),"Yes, it helps me save more",Stayed the Same,4,Faster with UPI,3-5,3-5,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Clearly Visible,Cooperative
4-8-2026 18:27:30,1,Frank Ross,Male,30-44,Medicine ,"Non-Perishables (e.g., clothes, small electronics, repair services)",GLT Road,7,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),6-8,Rarely (Less than once a month),3,?20-?100,14,Somewhat Fluctuating,20000,5000,2,2,UPI (Bank record helps),No difference in saving habits,Declined (20%+ decrease),4,Faster with UPI,0-2,0-2,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Hidden/Asked for,Cooperative
4-8-2026 18:31:44,1,Sanku Enterprise,Male,60+,Stationery,"Non-Perishables (e.g., clothes, small electronics, repair services)",Opposite Endeavour Clinic,1974,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),3-5,Rarely (Less than once a month),3,?20-?100,20,Somewhat Fluctuating,4500,1000,2,,Cash (Physical count is better),No difference in saving habits,Declined (20%+ decrease),4,No change,6-8,0-2,"Yes, I am worried",Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,No (Potential perception bias),Slightly different,Hidden/Asked for,Cooperative
4-8-2026 18:38:49,1,Nilima Variety ,Male,18-29,"Dolls , perfume , gift items ","Non-Perishables (e.g., clothes, small electronics, repair services)",GLT road near RSM,7,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),6-8,Rarely (Less than once a month),3,?100-?500,NA,Very Unsteady (Collections vary greatly),NA,NA,7,4,UPI (Bank record helps),"Yes, it helps me save more",Significantly Grown (20%+ increase),4,Faster with UPI,3-5,0-2,"Yes, I am worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Cooperative
4-8-2026 18:42:58,1,Parota sa hop,Female,60+,"Cigarette,tea,parota","Perishables (e.g., fruits, vegetables, cooked food)",Near Rsm,15 yrs,Permanent Stall (Pucca/Semi-Pucca structure),2,No,No upi,No (Free),0-2,Rarely (Less than once a month),3,?20-?100,50,Very Steady (Collections are consistent),Not given,Not given,7-8,0,No difference,No difference in saving habits,Significantly Grown (20%+ increase),4,No change,9-10,No upi,Neutral/Don't care,Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,No (Potential perception bias),Matches exactly,None found (Vendor stated they don't accept UPI),Cooperative
4-8-2026 18:49:01,1,Prakash shaw,Male,45-59,Packed food items (chips etc),"Perishables (e.g., fruits, vegetables, cooked food)",Opposite to m/s oriental music,7,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (monthly rent for device/service),6-8,Rarely (Less than once a month),3,?20-?100,12,Somewhat Fluctuating,4000,500,3,,Cash (Physical count is better),No difference in saving habits,Stayed the Same,4,,0-2,0-2,"Yes, I am worried",,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Cooperative
4-8-2026 18:51:53,1,Hap daily,Male,30-44,"Ice cream, chocolate ","Perishables (e.g., fruits, vegetables, cooked food)",GLT road near RSM,1,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),6-8,Rarely (Less than once a month),3,?20-?100,50,Somewhat Fluctuating,20000,5000,5,2,UPI (Bank record helps),No difference in saving habits,Stayed the Same,4,Faster with UPI,0-2,0-2,Neutral/Don't care,Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Cooperative
4-8-2026 19:00:38,1,Unique Creations,Male,30-44,"Plastic Items, Gift Items","Non-Perishables (e.g., clothes, small electronics, repair services)",Opposite to 12 No. Ward Gate,5,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,,Yes (monthly rent for device/service),9-10,Rarely (Less than once a month),3,?100-?500,40,Very Steady (Collections are consistent),22000,9000,3,3,UPI (Bank record helps),"Yes, it helps me save more",Declined (20%+ decrease),4,Faster with UPI,0-2,0-2,"Yes, I am worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,No (Potential perception bias),Slightly different,Clearly Visible,Cooperative
4-8-2026 19:02:06,1,KC Ghosh,Male,45-59,Sweets,"Perishables (e.g., fruits, vegetables, cooked food)",Deshbandhu road,35,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,,9-10,Rarely (Less than once a month),3,Below ?20,25,Very Steady (Collections are consistent),NA,NA,7,7,UPI (Bank record helps),"Yes, it helps me save more",Stayed the Same,4,Faster with UPI,9-10,0-2,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Clearly Visible,Cooperative
4-8-2026 19:17:45,1,,Male,30-44, kirana,"Perishables (e.g., fruits, vegetables, cooked food)",Deshbandhu road,20,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),6-8,Monthly,3,Below ?20,100,Somewhat Fluctuating,5000,3000,6,2,UPI (Bank record helps),No difference in saving habits,Significantly Grown (20%+ increase),4,Faster with UPI,3-5,3-5,"Yes, I am worried",Sometimes,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Clearly Visible,Cooperative
4-8-2026 19:37:50,1,,Male,45-59,Vegetables ,"Perishables (e.g., fruits, vegetables, cooked food)",Deshbandhu road,22,Pavement (Sitting on ground or temporary mat/sheet),2,No,,,,,3,Below ?20,100,Somewhat Fluctuating,12000,5000,5,,,,Declined (20%+ decrease),4,,,0-2,,,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",,,Matches exactly,None found (Vendor stated they don't accept UPI),Cooperative
4-8-2026 19:52:55,1,Maa bhabatarini enterprises ,Male,45-59,Hardware ,"Non-Perishables (e.g., clothes, small electronics, repair services)",Deshbandhu road,14,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),3-5,Rarely (Less than once a month),3,?100-?500,NA,Somewhat Fluctuating,NA,NA,0,0,No difference,No difference in saving habits,Declined (20%+ decrease),4,No change,6-8,0-2,"No, I am not worried",Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Hidden/Asked for,Cooperative
4-8-2026 20:02:07,1,Tara maa hotel,Male,45-59,Roti,"Perishables (e.g., fruits, vegetables, cooked food)",Deshbandhu road ,27,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"Customers kept asking for it, To avoid the problem of change",Yes (monthly rent for device/service),3-5,Rarely (Less than once a month),3,Below ?20,100,Somewhat Fluctuating,NA,NA,5,1,UPI (Bank record helps),No difference in saving habits,Declined (20%+ decrease),4,Faster with UPI,3-5,0-2,"Yes, I am worried",Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",,,Slightly different,Clearly Visible,Cooperative
4-8-2026 20:08:06,1,Ruposhi Bangla,Male,30-44,Fast Food,"Perishables (e.g., fruits, vegetables, cooked food)",Opposite to NABH Club,5,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,,Yes (monthly rent for device/service),6-8,Rarely (Less than once a month),3,?100-?500,50,Very Steady (Collections are consistent),20000,6000,8,,UPI (Bank record helps),,Declined (20%+ decrease),4,Faster with UPI,6-8,0-2,"No, I am not worried",,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,No (Potential perception bias),Matches exactly,Clearly Visible,Cooperative
4-8-2026 22:36:20,1,Taste N Bite,Female,60+,"Cake, Pastry, Patties(Confectionery)","Perishables (e.g., fruits, vegetables, cooked food)",GLT Road,5,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Other vendors were using it,No (Free),6-8,Rarely (Less than once a month),3,?20-?100,75,Somewhat Fluctuating,7500,1500,4,3,,,Stayed the Same,4,Faster with UPI,3-5,0-2,,,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Clearly Visible,Owner of shop absent
4-8-2026 22:41:13,1,,Female,18-29,"Diesel, Petrol, Grease","Non-Perishables (e.g., clothes, small electronics, repair services)",GLT Road,0(2 weeks),Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"Other vendors were using it, New shop",No (Free),9-10,Weekly,3,?100-?500,10-12,Somewhat Fluctuating,5000,1250,1,1,,,Stayed the Same,4,,0-2,0-2,"No, I am not worried",,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Hidden/Asked for,Cooperative
4-8-2026 22:46:45,1,Sagarika Stores,Male,30-44,"Groceries, Cold Drinks, Ice cream","Perishables (e.g., fruits, vegetables, cooked food)",GLT Road,65,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Other vendors were using it,Yes (small charge per sale/transaction),3-5,Rarely (Less than once a month),3,?20-?100,250,Somewhat Fluctuating,25000,7000,30,14,,,Stayed the Same,4,,3-5,0-2,,Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Clearly Visible,Cooperative
4-8-2026 22:50:48,1,Ghosh Varieties,Male,45-59,Stationary,"Non-Perishables (e.g., clothes, small electronics, repair services)",GLT Road (not in the main road),25,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"Customers kept asking for it, Other vendors were using it",No (Free),0-2,Rarely (Less than once a month),3,Below ?20,40,Somewhat Fluctuating,2000,600,4,0,,,Stayed the Same,4,,9-10,0-2,,,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Clearly Visible,Suspicious
4-8-2026 22:53:22,1,Softech Electronics,Male,18-29,Electronics Distributor ,"Non-Perishables (e.g., clothes, small electronics, repair services)",BT Road and GLT Intersection ,3,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,,No (Free),6-8,Rarely (Less than once a month),3,?100-?500,20,Somewhat Fluctuating,3000,400,0,,,,Declined (20%+ decrease),4,,6-8,0-2,Neutral/Don't care,,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",,,Matches exactly,Clearly Visible,Cooperative
4-8-2026 22:55:42,1,,Male,18-29,Clothes,"Non-Perishables (e.g., clothes, small electronics, repair services)",GLT Road,7,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Other vendors were using it,Yes (monthly rent for device/service),6-8,Monthly,3,?100-?500,6-7,Very Unsteady (Collections vary greatly),10000,500,0,0,,,Stayed the Same,4,,3-5,0-2,,,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Cooperative
4-8-2026 23:00:30,1,,Male,45-59,Chicken,"Perishables (e.g., fruits, vegetables, cooked food)",GLT Road,6,Pavement (Sitting on ground or temporary mat/sheet),2,Yes,,No (Free),6-8,Monthly,3,?100-?500,60,Very Unsteady (Collections vary greatly),60000,5000,6,4,,,Stayed the Same,4,,3-5,0-2,,,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Hidden/Asked for,Cooperative
4-8-2026 23:02:10,1,New Eye Vision,Male,30-44,Spectacles,"Non-Perishables (e.g., clothes, small electronics, repair services)",Baine Hospital,12,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),,,3,3000,8,Very Unsteady (Collections vary greatly),20000,2000,1,,UPI (Bank record helps),No difference in saving habits,Declined (20%+ decrease),4,,0-2,0-2,"Yes, I am worried",Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Clearly Visible,Cooperative
4-8-2026 23:05:24,1,,Female,30-44,Wallpaper,"Non-Perishables (e.g., clothes, small electronics, repair services)",GLT Road,0(4 months),Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"Other vendors were using it, New shop",Yes (small charge per sale/transaction),6-8,,3,>1500,2,Somewhat Fluctuating,12000,0,0,0,,,Stayed the Same,4,,3-5,0-2,,,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Hidden/Asked for,Cooperative
4-8-2026 23:09:25,1,Medicine World,Male,60+,Medicine,"Perishables (e.g., fruits, vegetables, cooked food)",GLT Road,>50,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"Customers kept asking for it, To avoid the problem of change",Yes (monthly rent for device/service),9-10,Weekly,3,?20-?100,65,Somewhat Fluctuating,7000,4500,6,5,,,Stayed the Same,4,No change,0-2,0-2,,Often,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Cooperative
